Timestamp,Value
1416294077,561
1416296426,778
1416390026,974
1416394901,902
1416482445,695
1416542746,676
1416567724,738
1416820579,669
1416905866,696
1417428330,686
1417512289,710
1417605372,617
1418302571,93
1418366324,214
1418368120,30
1418619259,466
1418808319,831
1418819425,182
1418882685,664
1418896399,81
1418897209,198
1418898714,455
1418970637,204
1420449273,818
1420521063,336
1420624373,530
1420783149,0
1421055576,785
1421213779,266
1421301070,655
1421301593,689
1421308920,179
1421315373,493
1421393641,360
1421400215,849
1421400370,678
1421406278,752
1421730318,521
1421730513,480
1421741899,127
1421818482,349
1421822353,628
1421834485,538
1421837858,276
1421905514,385
1421926158,401
1422266987,409
1422347081,690
1422349614,649
1422350844,721
1422442184,780
1422446728,677
1422448363,702
1422509600,183
1422512144,505
1422520474,342
1422521231,651
1422524829,93
1422527133,509
1422590561,695
1422614828,9
1422618601,1214
1422945253,838
1422960185,638
1422961194,1174
1423031381,752
1423203265,622
1423204041,75
1423213672,702
1423548575,790
1423558462,561
1423632117,225
1423649614,70
1423655446,487
1423716117,869
1423716410,606
1423722474,856
1423729072,248
1423731024,286
1423740333,706
1423740421,1161
1423811258,676
1423812845,234
1423822921,706
1424065365,465
1424068199,797
1424074252,511
1424082972,629
1424091174,780
1424162674,272
1424163196,426
1424168188,831
1424237916,611
1424252132,311
1424255312,672
1424319488,708
1424325759,692
1424326609,594
1424331800,310
1424339563,655
1424339723,931
1424340576,2095
1424408744,631
1424437043,307
1424673956,691
1424684415,789
1424757685,476
1424771392,304
1424773355,826
1424778507,675
1424782259,107
1424846792,632
1424862726,188
1424944890,1795
1424949087,728
1425127890,302
1425363478,932
1425371754,784
1425379424,731
1425382204,604
1425451684,687
1425468073,88
1425468831,617
1425469585,455
1425537171,211
1425540552,671
1425556151,1148
1425618267,615
1425632881,672
1425634448,408
1425636717,1052
1425642405,499
1425706150,741
1425718255,154
1425835968,1979
1425872927,656
1425876216,625
1425876482,371
1425887388,322
1425894210,961
1425958705,657
1425961051,648
1425962839,347
1425973046,192
1425974916,663
1425982514,659
1426047936,413
1426059910,111
1426060915,647
1426065152,294
1426065953,735
1426075232,488
1426133711,383
1426144455,641
1426146330,252
1426148000,666
1426150601,509
1426153193,724
1426167467,89
1426219590,690
1426220204,1296
1426221125,500
1426221229,398
1426233217,239
1426234028,630
1426236890,512
1426237249,708
1426239394,694
1426240652,208
1426478836,690
1426482814,473
1426496093,641
1426498621,917
1426499697,569
1426499768,652
1426500301,699
1426562246,684
1426568818,649
1426572447,550
1426580339,282
1426583027,652
1426584975,673
1426587896,450
1426590044,652
1426597828,252
1426648385,668
1426651281,0
1426672840,685
1426674608,1901
1426679853,206
1426734357,686
1426734554,535
1426735145,4
1426742403,756
1426747455,250
1426751447,0
1426752124,688
1426752275,606
1426752439,649
1426756875,647
1426756936,668
1426757768,666
1426758019,952
1426765646,417
1426820434,0
1426820845,2
1426825247,660
1426829631,0
1426830653,666
1426832120,669
1426838345,552
1426840817,424
1427081063,659
1427084358,567
1427087419,682
1427094048,647
1427097578,665
1427102099,462
1427102319,2
1427103510,688
1427105127,430
1427168279,370
1427171873,858
1427174984,438
1427175579,691
1427185074,680
1427191846,0
1427194512,0
1427195372,451
1427251485,586
1427254440,682
1427257467,1
1427258995,851
1427261465,682
1427263208,357
1427274458,683
1427333507,662
1427338978,383
1427339532,547
1427346269,180
1427347147,682
1427349063,107
1427353922,0
1427354698,665
1427358363,26
1427359573,440
1427360914,732
1427361175,0
1427418103,669
1427427027,683
1427428945,139
1427431686,1350
1427434451,511
1427434868,688
1427436214,366
1427437560,692
1427446057,471
1427452921,482
1427507964,19
1427518644,766
1427677079,650
1427694583,668
1427696604,455
1427698755,558
1427700109,111
1427700224,3
1427704057,78
1427710672,0
1427710856,334
1427711955,653
1427712612,554
1427764020,47
1427775602,738
1427778328,767
1427785543,577
1427787279,363
1427791337,409
1427794619,353
1427795792,0
1427805405,434
1427849554,682
1427859200,0
1427864914,531
1427873291,0
1427874504,245
1427874900,0
1427876792,0
1427878280,683
1427878534,426
1427878970,3
1427880282,636
1427880708,615
1427893373,291
1427936482,676
1427942603,646
1427942792,677
1427945324,0
1427949236,648
1427950658,734
1427960905,653
1427963580,555
